Ligand_name,Status
Z5366249423,SUCCESS
Z9253168649,SUCCESS
Z1889253267,SUCCESS
Z2967872724,SUCCESS
Z9352685048,SUCCESS
Z6739903611,SUCCESS
Z5431985614,SUCCESS
Z1645370052,SUCCESS
Z8822821836,SUCCESS
Z9030553436,SUCCESS
Z9358991827,SUCCESS
Z2911744902,SUCCESS
Z1462678261,SUCCESS
Z9599415608,SUCCESS
Z7662042119,SUCCESS
Z9339632958,SUCCESS
Z1521649028,SUCCESS
Z9071705209,SUCCESS
Z9898743446,SUCCESS
Z9269645924,SUCCESS
Z2755633185,SUCCESS
Z9898743446,SUCCESS
Z9071705209,SUCCESS
Z8784712819,SUCCESS
Z8945688102,SUCCESS
Z8945688102,SUCCESS
Z9751675234,SUCCESS
Z9423989546,SUCCESS
Z3337907755,SUCCESS
Z2637311367,SUCCESS
Z6592958448,SUCCESS
Z8436034266,SUCCESS
Z9839430076,SUCCESS
Z1762660462,SUCCESS
Z9299008872,SUCCESS
Z6739727726,SUCCESS
Z7134994374,SUCCESS
Z8692587085,SUCCESS
Z8955443790,SUCCESS
Z2595722869,SUCCESS
Z9667173427,SUCCESS
Z1672283310,SUCCESS
Z3347853939,SUCCESS
Z9185123503,SUCCESS
Z9193183009,SUCCESS
Z2999149641,SUCCESS
Z1445187194,SUCCESS
Z1744475548,SUCCESS
Z9929964365,SUCCESS
Z9476208738,SUCCESS
Z9476208738,SUCCESS
Z8795960123,SUCCESS
Z1815311228,SUCCESS
Z6313975566,SUCCESS
Z1643913219,SUCCESS
Z1260706137,SUCCESS
Z7918279733,SUCCESS
Z1726220536,SUCCESS
Z4414614491,SUCCESS
Z9719903265,SUCCESS
Z9061724586,SUCCESS
Z1603616508,SUCCESS
Z1522161236,SUCCESS
Z1522161236,SUCCESS
Z1869968328,SUCCESS
Z9031719237,SUCCESS
Z8984259912,SUCCESS
Z9424304981,SUCCESS
Z9317904859,SUCCESS
Z9295281695,SUCCESS
Z1603607801,SUCCESS
Z4381137742,SUCCESS
Z9549840705,SUCCESS
Z1762655879,SUCCESS
Z9359784419,SUCCESS
Z4385664995,SUCCESS
Z1983614398,SUCCESS
Z6667744465,SUCCESS
Z5431985814,SUCCESS
Z9245487979,SUCCESS
Z5861861762,SUCCESS
Z7157401613,SUCCESS
Z9061356471,SUCCESS
Z9061356471,SUCCESS
Z9830198246,SUCCESS
Z2003590251,SUCCESS
Z6781282792,SUCCESS
Z1609632372,SUCCESS
Z9193183074,SUCCESS
Z2983201109,SUCCESS
Z8796798135,SUCCESS
Z6973984438,SUCCESS
Z2771056986,SUCCESS
Z9712724192,SUCCESS
Z5163449988,SUCCESS
Z1870154772,SUCCESS
Z1506319989,SUCCESS
Z9217777386,SUCCESS
Z3510154872,SUCCESS
Z8909802229,SUCCESS
Z9271467488,SUCCESS
Z6795711489,SUCCESS
Z8995720024,SUCCESS
Z1991669400,SUCCESS
Z5408240614,SUCCESS
Z9898419145,SUCCESS
Z7706249727,SUCCESS
Z8927860001,SUCCESS
Z7529816301,SUCCESS
Z2616511050,SUCCESS
Z9816076016,SUCCESS
Z3405720978,SUCCESS
Z7529816301,SUCCESS
Z3247466551,SUCCESS
Z1651022721,SUCCESS
Z7143192859,SUCCESS
Z9193183007,SUCCESS
Z8034648389,SUCCESS
Z9466035315,SUCCESS
Z9354137948,SUCCESS
Z2523765236,SUCCESS
Z5410776925,SUCCESS
Z9049962107,SUCCESS
Z9675273600,SUCCESS
Z5431993647,SUCCESS
Z9518450112,SUCCESS
Z7845373413,SUCCESS
Z9238963797,SUCCESS
Z2523765236,SUCCESS
Z9466032726,SUCCESS
Z8822821849,SUCCESS
Z8979761631,SUCCESS
Z9718041949,SUCCESS
Z9164346032,SUCCESS
Z9255353014,SUCCESS
Z9193183016,SUCCESS
Z9988499172,SUCCESS
Z3009600399,SUCCESS
Z8871863347,SUCCESS
Z8899347080,SUCCESS
Z2361864594,SUCCESS
Z3346990964,SUCCESS
Z2217527262,SUCCESS
Z9061823016,SUCCESS
Z9756007316,SUCCESS
Z7371477392,SUCCESS
Z8776116939,SUCCESS
Z6739441937,SUCCESS
Z5614321488,SUCCESS
Z9110161489,SUCCESS
Z4176216653,SUCCESS
Z9255353672,SUCCESS
Z1146677467,SUCCESS
Z1559367779,SUCCESS
Z9324097941,SUCCESS
Z9593948054,SUCCESS
Z8189611576,SUCCESS
Z4067824406,SUCCESS
Z8807611233,SUCCESS
Z2994236894,SUCCESS
Z960081786,SUCCESS
Z1780746253,SUCCESS
Z3642631624,SUCCESS
Z9159451996,SUCCESS
Z6739536049,SUCCESS
Z8505473793,SUCCESS
Z9269647879,SUCCESS
Z2581531991,SUCCESS
Z9062089980,SUCCESS
Z3497839328,SUCCESS
Z8587950236,SUCCESS
Z9070273914,SUCCESS
Z3838445366,SUCCESS
Z1444970710,SUCCESS
Z9241052590,SUCCESS
Z9038790100,SUCCESS
Z9740260572,SUCCESS
Z1444970710,SUCCESS
Z2310091969,SUCCESS
Z9147149643,SUCCESS
Z2041652045,SUCCESS
Z9061730679,SUCCESS
Z9178496294,SUCCESS
Z9227977816,SUCCESS
Z224135148,SUCCESS
Z9897309869,SUCCESS
Z9245488166,SUCCESS
Z3297643564,SUCCESS
Z9897309869,SUCCESS
Z9312349792,SUCCESS
Z1725555471,SUCCESS
Z7264161786,SUCCESS
Z9235765498,SUCCESS
Z9324097923,SUCCESS
Z5182397409,SUCCESS
Z365116100,SUCCESS
Z8789239061,SUCCESS
Z8343312073,SUCCESS
Z3775968255,SUCCESS
Z7934075566,SUCCESS
Z1824133136,SUCCESS
Z5182397409,SUCCESS
Z3610676530,SUCCESS
Z7934075566,SUCCESS
Z9385077959,SUCCESS
Z5182397409,SUCCESS
Z9196150421,SUCCESS
Z9988499175,SUCCESS
Z1603357655,SUCCESS
Z7918279719,SUCCESS
Z9193182893,SUCCESS
Z9485263072,SUCCESS
Z1603558797,SUCCESS
Z2764139309,SUCCESS
Z8984267107,SUCCESS
Z1908533139,SUCCESS
Z8796798136,SUCCESS
Z6781248920,SUCCESS
Z8005446020,SUCCESS
Z8005446020,SUCCESS
Z9665986798,SUCCESS
Z9488429595,SUCCESS
Z2972202799,SUCCESS
Z7133964338,SUCCESS
Z9990955255,SUCCESS
Z8993830419,SUCCESS
Z9193183033,SUCCESS
Z2910593881,SUCCESS
Z2755344440,SUCCESS
