molecule_chembl_id,standard_value,pchembl_value,canonical_smiles
CHEMBL2323502,1110,5.954677021,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(C#N)cc1)cn2C(=O)c1ccc(Cl)cc1
CHEMBL2323503,3970,5.401209493,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(Br)cc1)cn2C(=O)c1ccc(Cl)cc1
CHEMBL2323504,1940,5.71219827,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1cc(C(F)(F)F)ccc1C(F)(F)F)cn2C(=O)c1ccc(Cl)cc1
CHEMBL2323505,2400,5.619788758,CCC(=O)Cc1cn(C(=O)O)c2ccc(OC)cc12
CHEMBL2323506,22780,4.64244628,CCC(=O)Cc1cn(C(=O)OC)c2ccc(OC)cc12
CHEMBL2323507,130,6.886056648,COc1ccc2c(c1)c(C)c(CCC(=O)O)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323508,90,7.045757491,CCc1c(CCC(=O)O)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
CHEMBL2323509,120,6.920818754,COc1ccc2c(c1)c(C)c(CC(C)(C)C(=O)O)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323510,290,6.537602002,COc1ccc2c(c1)c(C)c(CC(C)C(=O)O)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323511,340,6.468521083,COc1ccc2c(c1)c(C)c(CCC(=O)NS(C)(=O)=O)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323512,5530,5.257274869,COc1ccc2c(c1)c(C)c(CC(C)C(=O)NS(C)(=O)=O)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323513,1440,5.841637508,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)C(F)(F)F)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323514,3110,5.507239611,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccc(C)cc1)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323515,2540,5.595166283,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccc3ccccc3c1)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323516,3250,5.488116639,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccccc1C)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323517,1110,5.954677021,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323518,2500,5.602059991,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccc(OC(F)(F)F)cc1)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323520,2650,5.576754126,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccc(C(C)=O)cc1)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323521,4690,5.328827157,COc1ccc2c(c1)c(C)c(CCC(=O)NS(=O)(=O)c1ccc(C(C)C)cc1)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323522,160,6.795880017,COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCC(C(=O)O)C1
CHEMBL2323523,279,6.554395797,COc1ccc2c(c1)c1c(n2C(=O)c2cccc(C(F)(F)F)c2)CCC(C(=O)O)C1
CHEMBL2323524,5070,5.294992041,COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCC(C(=O)NS(C)(=O)=O)C1
CHEMBL2323525,340,6.468521083,COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CC(C(=O)O)CC1
CHEMBL2334902,43100,4.36552273,CS(=O)(=O)c1ccc(/C(=C\c2ccc(F)cc2)C(=O)O)cc1
CHEMBL2334903,13400,4.872895202,Cc1ccc(/C=C(/C(=O)O)c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL2334904,13600,4.866461092,CCc1ccc(/C=C(/C(=O)O)c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL2334905,36900,4.432973634,COc1ccc(/C=C(/C(=O)O)c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL2334908,33100,4.480172006,CS(=O)(=O)c1ccc(/C(=C\c2ccc(O)c(O)c2)C(=O)O)cc1
CHEMBL2334910,38900,4.410050399,CS(=O)(=O)c1ccc(/C(=C\c2cccc(F)c2)C(=O)O)cc1
CHEMBL2334911,13600,4.866461092,CS(=O)(=O)c1ccc(/C(=C\c2cccc(Br)c2)C(=O)O)cc1
CHEMBL2334912,4900,5.30980392,CS(=O)(=O)c1ccc(/C(=C\c2ccc(Br)cc2)C(=O)O)cc1
CHEMBL2334913,23300,4.632644079,CS(=O)(=O)c1ccc(/C(=C\c2ccc(C(F)(F)F)cc2)C(=O)O)cc1
CHEMBL2334914,5800,5.236572006,CSc1ccc(/C=C(/C(=O)O)c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL2334915,51000,4.292429824,CS(=O)(=O)c1ccc(/C=C(/C(=O)O)c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL2334928,38700,4.412289035,COc1ccc(/C=C(/C(=O)O)c2ccc3ccccc3c2)cc1OC
CHEMBL2334929,30200,4.519993057,CSc1ccc(/C=C(/C(=O)O)c2ccccc2)cc1
CHEMBL2334932,8300,5.080921908,CSc1ccc(/C=C(/C(=O)O)c2ccc(Cl)cc2)cc1
CHEMBL2334933,86600,4.062482108,CS(=O)(=O)c1ccc(/C=C(/C(=O)O)c2ccc(Cl)cc2)cc1
CHEMBL2334934,10800,4.966576245,CS(=O)(=O)c1ccc(/C(=C\c2ccc(Cl)cc2)C(=O)O)cc1
CHEMBL2334935,17000,4.769551079,CSc1ccc(/C=C(/C(=O)O)c2cccc(Cl)c2)cc1
CHEMBL2334936,76700,4.115204636,CS(=O)(=O)c1ccc(/C=C(/C(=O)O)c2cccc(Cl)c2)cc1
CHEMBL2334937,16800,4.774690718,CS(=O)(=O)c1ccc(/C(=C\c2cccc(Cl)c2)C(=O)O)cc1
CHEMBL2413849,24,7.619788758,Cc1ccc2[nH]c(C(=O)N3CCC(CC(C)(C)O)CC3)cc2c1
CHEMBL3103322,21900,4.659555885,O=C(O)C1CCN(C(=O)N2CCN(c3ccc(Cl)cc3)CC2)CC1
CHEMBL3103323,460,6.337242168,O=C(CO)N1CCN(C(=O)N2CCN(c3ccc(Cl)cc3)CC2)CC1
CHEMBL3103324,350,6.455931956,O=C(N1CCN(c2ccc(Cl)cc2)CC1)N1CCc2ccccc2C1
CHEMBL3103327,30000,4.522878745,O=C(N1CCOCC1)N1CCCN(c2ccccc2)CC1
CHEMBL3103328,3700,5.431798276,O=C(N1CCOCC1)N1CC2CC1CN2c1ccc(Cl)cc1
CHEMBL3103330,25,7.602059991,O=C(N1CCOCC1)N1CCN(c2ccc(Cl)cc2Cl)CC1
CHEMBL3103331,110,6.958607315,Cc1cc(Cl)ccc1N1CCN(C(=O)N2CCOCC2)CC1
CHEMBL3103332,160,6.795880017,O=C(N1CCOCC1)N1CCN(c2ccc(Cl)cc2CO)CC1
CHEMBL3103333,530,6.27572413,O=C(N1CCOCC1)N1CCN(c2ccc(Cl)nc2)CC1
CHEMBL3103334,100,7,O=C(N1CCOCC1)N1CCN(c2ccc(Br)cn2)CC1
CHEMBL3103335,350,6.455931956,O=C(N1CCOCC1)N1CCN(Cc2ccc(Cl)cc2)CC1
CHEMBL3103336,480,6.318758763,O=C(c1ccc(Cl)cc1)N1CCN(C(=O)N2CCOCC2)CC1
CHEMBL3103340,12600,4.899629455,O=C(c1ccncc1)N1CCN(c2ccc(Cl)cc2)CC1
CHEMBL3103341,9100,5.040958608,O=C(N1CCSCC1)N1CCN(c2ccc(Cl)cc2)CC1
CHEMBL3103344,2900,5.537602002,O=C(N1CCOCC1)N1CCN(c2cnc3ccccc3c2)CC1
CHEMBL3103345,660,6.180456064,C#Cc1ccc(N2CCN(C(=O)N3CCOCC3)CC2)cc1
CHEMBL3103346,68,7.167491087,O=C(N1CCOCC1)N1CCN(c2ccc(C(F)(F)F)cc2)CC1
CHEMBL3103347,110,6.958607315,O=C(N1CCOCC1)N1CCN(c2ccc(Cl)cc2)CC1
CHEMBL3103348,140,6.853871964,O=C(N1CCOCC1)N1CCN(c2ccc(Br)cc2)CC1
CHEMBL3103349,67,7.173925197,O=C(N1CCOCC1)N1CCN(c2ccc(I)cc2)CC1
CHEMBL3103355,5520,5.258060922,CS(=O)(=O)c1ccc(N2CCN(C(=O)N3CCOCC3)CC2)cc1
CHEMBL3103356,570,6.244125144,O=C(N1CCOCC1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1
CHEMBL3103357,12100,4.91721463,Cc1ccccc1N1CCN(C(=O)N2CCOCC2)CC1
CHEMBL3103358,2300,5.638272164,O=C(N1CCOCC1)N1CCN(c2ccccc2Cl)CC1
CHEMBL3103359,700,6.15490196,O=C(N1CCOCC1)N1CCN(c2ccccc2C(F)(F)F)CC1
CHEMBL3103360,5300,5.27572413,O=C(N1CCOCC1)N1CCN(c2cccc(Cl)c2)CC1
CHEMBL3103362,360,6.443697499,Cc1ccc(N2CCN(C(=O)N3CCOCC3)CC2)cc1
CHEMBL3103363,350,6.455931956,COc1ccc(N2CCN(C(=O)N3CCOCC3)CC2)cc1
CHEMBL3103365,4900,5.30980392,O=C(N1CCOCC1)N1CCN(c2ccc3ccccc3c2)CC1
CHEMBL3337458,220,6.657577319,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2ccc(F)cc2)c1
CHEMBL3337696,4500,5.346787486,COc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337697,970,6.013228266,CCOc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337698,2200,5.657577319,CCCOc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337699,3100,5.508638306,CC(C)Oc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337700,420,6.37675071,CCCCOc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337701,560,6.251811973,CC(C)COc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337702,1100,5.958607315,C/C=C/COc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337703,850,6.070581074,C=C(C)COc1cc(/C=C/C(=O)O)ccc1OC(=O)CCc1ccccc1
CHEMBL3337704,390,6.408935393,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2ccccc2)c1
CHEMBL3337705,110,6.958607315,Cc1ccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2ccccc2)cc1
CHEMBL3337706,320,6.494850022,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2ccccc2F)c1
CHEMBL3337707,110,6.958607315,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2cccc(F)c2)c1
CHEMBL3337708,360,6.443697499,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2cc(F)cc(F)c2)c1
CHEMBL3337709,890,6.050609993,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2ccc(Cl)cc2)c1
CHEMBL3337710,570,6.244125144,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCCc2ccccc2)c1
CHEMBL3337711,160,6.795880017,Cc1ccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2cccc(F)c2)cc1
CHEMBL3337712,470,6.327902142,Cc1ccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2ccc(F)cc2)cc1
